epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_secs
1,0.0009984740801978985,2.0630556693904136,0.3842662632375189,1.2597330110716618,0.60015467904099,120.23945713043213
2,0.0009939057285945933,0.88264801544238,0.7316009611106167,0.9216070989260633,0.7146171693735499,121.90129017829895
3,0.00098632311059685,0.5218101605684125,0.8450654089169707,0.88471045866551,0.6902552204176334,123.70268297195435
4,0.0009757729755661011,0.34599183698327257,0.8981934680074753,0.7246506763053143,0.7517401392111369,122.27966380119324
5,0.000962320368593087,0.2654487091981294,0.9232001423867581,0.9554768292044634,0.705723124516628,122.6003167629242
6,0.0009460482294732421,0.1922969197881087,0.945270089881641,0.7558379257753296,0.7331786542923434,120.13252639770508
7,0.0009270568813552756,0.1584524634529011,0.955326154667616,0.9472377714654179,0.742846094354215,120.29844808578491
8,0.000905463412215599,0.12711341802819487,0.9626234760167305,0.8256046787143468,0.7710750193348801,120.47533226013184
9,0.0008814009529720154,0.0957012911851565,0.9729465159740144,0.6677828315420009,0.7985305491105955,120.4828782081604
10,0.000855017856687341,0.0851950512852036,0.9771291269911898,1.3574753410794411,0.7064965197215777,119.99353337287903
11,0.000826476783923441,0.08120693724817617,0.9761502180297232,1.6149444370278447,0.6836813611755607,119.79055142402649
12,0.0007959536998847741,0.07268888945759663,0.9813117380083652,0.8534245369761422,0.768754833720031,122.43675780296326
13,0.0007636367895343945,0.06186225450451586,0.9836255228263772,0.8832731584392413,0.779969064191802,122.37183260917664
14,0.0007297252973710755,0.040943551266063166,0.9902999021091039,0.9643789611955599,0.7648878576952823,122.2782301902771
15,0.0006944282990207194,0.04342872334818744,0.9893209931476372,1.2129551511126795,0.7242846094354215,123.22292613983154
16,0.0006579634122155989,0.04044351210593753,0.9886980510812494,0.8342945585178596,0.7803557617942769,120.22208142280579
17,0.0006205554551086731,0.02547393217332256,0.9944825131262792,0.8026854400033216,0.8043310131477185,121.94912791252136
18,0.0005824350601949142,0.025108821195786224,0.9943935214025096,0.9093379244858029,0.7811291569992266,121.58036041259766
19,0.0005438372523852832,0.03723392778734216,0.9897659517664857,0.6044387151567809,0.8495746326372776,121.51338768005371
20,0.0005049999999999999,0.019877252663664146,0.9951944469164368,0.6056145228416179,0.8460943542150039,123.96317934989929
21,0.0004661627476147167,0.01817966309570249,0.9951944469164368,0.6119034271755246,0.837200309358082,120.69193959236145
22,0.00042756493980508576,0.017572474942344613,0.9959063807065943,0.5972135734797558,0.845707656612529,122.03948473930359
23,0.0003894445448913268,0.013149399037343693,0.9967073062205215,0.6107369024183052,0.8580819798917246,122.74564790725708
24,0.000352036587784401,0.01417997369879708,0.9972412565631397,0.5408609321977385,0.8604021655065739,121.34706091880798
25,0.0003155717009792805,0.010372391266552214,0.997419240010679,0.6886285627433222,0.8437741686001546,124.14858484268188
26,0.00028027470262892423,0.009380470756370078,0.9977752069057577,0.5613796700338817,0.8669760247486465,120.63898396492004
27,0.0002463632104656052,0.006020300958895371,0.9991100827623031,0.7171047525598814,0.8395204949729311,119.07523155212402
28,0.00021404630011522574,0.005010140227143786,0.9996440331049212,0.6080528838860679,0.860015467904099,121.22516441345215
29,0.00018352321607655907,0.004224241155903275,0.9993770579336122,0.6301128404340667,0.8526682134570766,122.03165102005005
30,0.00015498214331265893,0.006646814378659884,0.9989320993147637,0.6066088289476808,0.8584686774941995,121.70247793197632
31,0.00012859904702798464,0.0031831640156085904,0.9999110082762304,0.5989137924287133,0.8604021655065739,121.36302995681763
32,0.00010453658778440102,0.0029952763717781025,0.999733024828691,0.5996191882010292,0.8638824439288476,123.98955965042114
33,8.294311864472433e-05,0.0031408685852693176,0.9995550413811516,0.6326149761003012,0.857308584686775,122.52082943916321
34,6.395177052675792e-05,0.0036454794633710226,0.9996440331049212,0.6146300325845658,0.860015467904099,119.801842212677
35,4.7679631406913044e-05,0.0030687891655986374,0.9995550413811516,0.5704299922793165,0.8615622583139985,121.13633251190186
36,3.422702443389899e-05,0.0030514500113629295,0.9996440331049212,0.5768595682854256,0.865815931941222,121.46485757827759
37,2.3676889403150102e-05,0.002893508020253026,0.9998220165524606,0.5973269375398055,0.8634957463263728,123.8056321144104
38,1.609427140540686e-05,0.0026527493645322605,0.999733024828691,0.5942100855540011,0.8634957463263728,122.35954117774963
39,1.1525919802101659e-05,0.002141287467906001,0.999733024828691,0.5696988825654753,0.8681361175560711,120.87057399749756
40,1e-05,0.002272158518119953,0.9999110082762304,0.5799255973936437,0.8650425367362722,119.53439784049988
